Statistic Label,Year,Type of Building and Construction,UNIT,VALUE
Volume of Production Index in Building and Construction,2012,Residential building,Base 2015=100,59.46062979
Volume of Production Index in Building and Construction,2012,Non-residential building,Base 2015=100,75.53239655
Volume of Production Index in Building and Construction,2012,Civil engineering,Base 2015=100,96.76161329
Volume of Production Index in Building and Construction,2013,All building and construction,Base 2015=100,85.71923038
Volume of Production Index in Building and Construction,2013,Building (excluding civil engineering),Base 2015=100,78.97284028
Volume of Production Index in Building and Construction,2013,Residential building,Base 2015=100,65.82511176
Volume of Production Index in Building and Construction,2013,Non-residential building,Base 2015=100,89.53228826
Volume of Production Index in Building and Construction,2013,Civil engineering,Base 2015=100,101.2113183
Volume of Production Index in Building and Construction,2014,All building and construction,Base 2015=100,92.73027824
Volume of Production Index in Building and Construction,2014,Building (excluding civil engineering),Base 2015=100,87.65714411
Volume of Production Index in Building and Construction,2014,Residential building,Base 2015=100,77.61032346
Volume of Production Index in Building and Construction,2014,Non-residential building,Base 2015=100,95.72613336
Volume of Production Index in Building and Construction,2014,Civil engineering,Base 2015=100,104.3799811
Volume of Production Index in Building and Construction,2015,All building and construction,Base 2015=100,99.98424136
Volume of Production Index in Building and Construction,2015,Building (excluding civil engineering),Base 2015=100,99.98448514
Volume of Production Index in Building and Construction,2015,Residential building,Base 2015=100,99.98123123
Volume of Production Index in Building and Construction,2015,Non-residential building,Base 2015=100,99.98498927
Volume of Production Index in Building and Construction,2015,Civil engineering,Base 2015=100,99.98313081
Volume of Production Index in Building and Construction,2016,All building and construction,Base 2015=100,109.8826058
Volume of Production Index in Building and Construction,2016,Building (excluding civil engineering),Base 2015=100,111.3660847
Volume of Production Index in Building and Construction,2016,Residential building,Base 2015=100,123.8454999
Volume of Production Index in Building and Construction,2016,Non-residential building,Base 2015=100,109.4326542
Volume of Production Index in Building and Construction,2016,Civil engineering,Base 2015=100,103.1245351
Volume of Production Index in Building and Construction,2017,All building and construction,Base 2015=100,124.1627447
Volume of Production Index in Building and Construction,2017,Building (excluding civil engineering),Base 2015=100,127.9670194
Volume of Production Index in Building and Construction,2017,Residential building,Base 2015=100,144.0872133
Volume of Production Index in Building and Construction,2017,Non-residential building,Base 2015=100,125.4695246
Volume of Production Index in Building and Construction,2017,Civil engineering,Base 2015=100,106.8321598
Volume of Production Index in Building and Construction,2018,All building and construction,Base 2015=100,136.9588264
Volume of Production Index in Building and Construction,2018,Building (excluding civil engineering),Base 2015=100,140.9341827
Volume of Production Index in Building and Construction,2018,Residential building,Base 2015=100,142.232689
Volume of Production Index in Building and Construction,2018,Non-residential building,Base 2015=100,140.7330056
Volume of Production Index in Building and Construction,2018,Civil engineering,Base 2015=100,118.8488701
Volume of Production Index in Building and Construction,2019,All building and construction,Base 2015=100,144.7551532
Volume of Production Index in Building and Construction,2019,Building (excluding civil engineering),Base 2015=100,151.7393003
Volume of Production Index in Building and Construction,2019,Residential building,Base 2015=100,160.9344821
Volume of Production Index in Building and Construction,2019,Non-residential building,Base 2015=100,150.3146946
Volume of Production Index in Building and Construction,2019,Civil engineering,Base 2015=100,112.9384832
Volume of Production Index in Building and Construction,2020,All building and construction,Base 2015=100,131.4830511
Volume of Production Index in Building and Construction,2020,Building (excluding civil engineering),Base 2015=100,139.2633268
Volume of Production Index in Building and Construction,2020,Residential building,Base 2015=100,124.6683863
Volume of Production Index in Building and Construction,2020,Non-residential building,Base 2015=100,141.5245148
Volume of Production Index in Building and Construction,2020,Civil engineering,Base 2015=100,96.03957292
Volume of Production Index in Building and Construction,2021,All building and construction,Base 2015=100,127.4854128
Volume of Production Index in Building and Construction,2021,Building (excluding civil engineering),Base 2015=100,131.5698684
Volume of Production Index in Building and Construction,2021,Residential building,Base 2015=100,111.3677665
Volume of Production Index in Building and Construction,2021,Non-residential building,Base 2015=100,134.6997715
Volume of Production Index in Building and Construction,2021,Civil engineering,Base 2015=100,108.8784485
Volume of Production Index in Building and Construction,2022,All building and construction,Base 2015=100,130.0502926
Volume of Production Index in Building and Construction,2022,Building (excluding civil engineering),Base 2015=100,135.3384112
Volume of Production Index in Building and Construction,2022,Residential building,Base 2015=100,115.1588343
Volume of Production Index in Building and Construction,2022,Non-residential building,Base 2015=100,138.4648245
Volume of Production Index in Building and Construction,2022,Civil engineering,Base 2015=100,105.9599744
Value of Production Index in Building and Construction (Seasonally Adjusted),2000,All building and construction,Base 2015=100,155.7267842
Value of Production Index in Building and Construction (Seasonally Adjusted),2000,Building (excluding civil engineering),Base 2015=100,199.7030761
Value of Production Index in Building and Construction (Seasonally Adjusted),2000,Residential building,Base 2015=100,311.347481
Value of Production Index in Building and Construction (Seasonally Adjusted),2000,Non-residential building,Base 2015=100,121.4085177
Value of Production Index in Building and Construction (Seasonally Adjusted),2000,Civil engineering,Base 2015=100,63.66405467
Value of Production Index in Building and Construction (Seasonally Adjusted),2001,All building and construction,Base 2015=100,176.5600895
Value of Production Index in Building and Construction (Seasonally Adjusted),2001,Building (excluding civil engineering),Base 2015=100,222.745418
Value of Production Index in Building and Construction (Seasonally Adjusted),2001,Residential building,Base 2015=100,359.7240789
Value of Production Index in Building and Construction (Seasonally Adjusted),2001,Non-residential building,Base 2015=100,126.2237042
Value of Production Index in Building and Construction (Seasonally Adjusted),2001,Civil engineering,Base 2015=100,77.68653695
Value of Production Index in Building and Construction (Seasonally Adjusted),2002,All building and construction,Base 2015=100,188.609384
Value of Production Index in Building and Construction (Seasonally Adjusted),2002,Building (excluding civil engineering),Base 2015=100,230.0359705
Value of Production Index in Building and Construction (Seasonally Adjusted),2002,Residential building,Base 2015=100,391.3314281
Value of Production Index in Building and Construction (Seasonally Adjusted),2002,Non-residential building,Base 2015=100,115.5565425
Value of Production Index in Building and Construction (Seasonally Adjusted),2002,Civil engineering,Base 2015=100,94.8576332
Value of Production Index in Building and Construction (Seasonally Adjusted),2003,All building and construction,Base 2015=100,210.9587119
Value of Production Index in Building and Construction (Seasonally Adjusted),2003,Building (excluding civil engineering),Base 2015=100,262.3071377
Value of Production Index in Building and Construction (Seasonally Adjusted),2003,Residential building,Base 2015=100,480.6657008
Value of Production Index in Building and Construction (Seasonally Adjusted),2003,Non-residential building,Base 2015=100,106.6157927
Value of Production Index in Building and Construction (Seasonally Adjusted),2003,Civil engineering,Base 2015=100,98.5734212
